"","title","link","teaser"
"1","Brussels drafts rules to force Big Tech to share data","https://www.ft.com/content/1773edd6-7f1d-4290-93b6-05965a4ff0db","...The EU is preparing to force Big Tech companies to share their huge troves of customer data with smaller rivals, according to an early draft of its landmark Digital Services Act regulation.The likes..."
"2","EU restarts work on regulating Big Tech ","https://www.ft.com/content/1711b919-7699-4f5c-8881-113ac107601b","...Brussels wants more power to audit how tech companies harvest and use consumer data, as the EU prepares to launch a consultation on its flagship digital platform regulation.After pausing work on this..."
"3","EU has been too slow to tame Big Tech, says bloc’s auditor","https://www.ft.com/content/abb8ebe1-99e1-4547-8c42-df265bf5125c","..., Big Tech may be forced to share data with smaller rivals and may be banned from unfairly promoting their own services on their platforms, according to people directly involved in the discussions.Last..."
"4","Europe needs to build the digital future not just bash Big Tech","https://www.ft.com/content/63bc9826-f931-4c34-bc45-7daaf3c4f903","...Vestager puts it, “data defines us”.The EU is considering whether to force the big tech companies to share anonymised data. It is not yet clear exactly how this would work, nor whether it is even feasible..."
"5","Hong Kong stages Aria, a Covid-proof opera for our times","https://www.ft.com/content/22aebffe-c25b-4786-b729-98c1aa883fb6","...in Hong Kong as one of the world’s first pandemic-proof operas. It combines music, installation art and bigdata to reflect on environmental concerns.“They say manufacturing takes place elsewhere, in..."
"6","From veganism to #BLM: BigData promises to transform niche ETFs","https://www.ft.com/content/d203aec1-636d-41b0-9811-5a190621eb09","...advert for the non-profit’s NAACP Minority Empowerment exchange traded fund.Mr Powell is not alone in thinking that day is not far off. Advances in bigdata and artificial intelligence look set to..."
"7","Independent businesses in Britain are coping with Covid better than big chains, data show","https://www.ft.com/content/840d3ae9-84b0-4f41-b7b1-b2a80248d460","...online platforms.New research from the Local Data Company shows that while the pandemic contributed to a net 1,833 independent shops, cafés and other high-street businesses closing in the first eight..."
"8","Schrems shreds data shield","https://www.ft.com/content/5964d246-1858-4435-99d9-ff3cb760486c","...Whether America calls it a shield or a safe harbor, Europe’s top court has once again found the US wanting in its protection of the privacy and personal data of online users.Judges at the European..."
"9","Big tech earnings, US economic data, early voters pour in for US presidential election","https://www.ft.com/content/64c13f61-33cb-4fb3-bd60-45a1bdd4daab","...Big tech companies reported mixed earnings for the most recent quarter, and Donald Trump is pointing to strong third-quarter GDP days before the US presidential election. Plus, the FT’s Washington..."
"10","If Then by Jill Lepore — the ominous power of bigdata","https://www.ft.com/content/20d51294-51a4-493e-aa3a-bed78385b603","....Launched in 1959, Simulmatics injected bigdata and computing into politics against a testy backdrop of Eisenhower-Kennedy-Nixon cold war paranoia, civil rights protests and later, student antiwar..."
"11","Can the US catch up with Europe on ESG? Premium","https://www.ft.com/content/87607bcc-7765-4963-a5f9-1b83f1aab88d","...Welcome to Moral Money. Today we have:How a Biden win could push the US closer to Europe on ESGAnother deal in the red-hot ESG data sectorEstée Lauder jumps on the blockchain bandwagon to clean..."
"12","Bigdata suggests a difficult recovery in US jobs market ","https://www.ft.com/content/607f24f5-71ed-452c-b68e-716145584e3d","...of the current recession.For example, Raj Chetty of Harvard University, a leading proponent of bigdata to improve economic research, has released an impressive website that provides daily information..."
"13","We need more than BigData to track the virus","https://www.ft.com/content/042a1ca2-9997-11ea-8b5b-63f7c5c86bef","...2018 paper in Medical Anthropology Quarterly, which argued that “evidence from Sierra Leone reveals the significant limitations of BigData in disease detection and containment efforts”.This is a..."
"14","Why Johnson’s wind power plan may be hot air Premium","https://www.ft.com/content/b2b4a7d5-53cf-407f-959c-29b9a5480a2b","...to boost credit scoreEuropean regulator casts doubt on Big 4’s ESG data planData centres — a critical link to cutting tech emissionsNew Zealand mandates TCFD disclosuresBoris Johnson sails with..."
"15","India healthcare turns to bigdata to protect the masses","https://www.ft.com/content/dd112926-77fe-11ea-bd25-7fd923850377","...records, artificial intelligence and bigdata to help identify individuals potentially exposed to coronavirus through contact with other infected patients.Available in 11 languages, the app was..."
"16","Data centre stocks surge as world shelters online","https://www.ft.com/content/8a3fda4e-34be-4512-8dd6-3ffbf9bdd8dd","...infrastructure providers, such as the big chipmaker Broadcom and its rival Nvidia. The latter announced last month that sales to data centres surpassed $1bn in the first quarter for the first time.As the..."
"17","Apple and Facebook trade accusations over data privacy","https://www.ft.com/content/54c54efb-7c80-4468-bf8f-c646e2bbe07f","...Facebook has accused Apple of privacy shortcomings and abusing its market power after the iPhone maker took a swipe at the social media platform’s data collection practices.The war of words between..."
"18","EU faces tough battle over Big Tech’s hold on data","https://www.ft.com/content/e0c409ec-53fc-11ea-8841-482eed0038b1","....This is all well and good, and a Data Act planned for next year will lay the ground rules. But it does not deal with a more fundamental problem of Big Tech’s data power, and one which will require..."
"19","Can data save us from coronavirus?","https://www.ft.com/content/1f7f748f-3077-401d-afd6-742d9006ef43","...Will data science save us from the pandemic?Bigdata and machine learning — the twin engines behind the recent boom in artificial intelligence — have been touted in the tech world as technologies..."
"20","Tracking coronavirus: bigdata and the challenge to privacy | Free to read","https://www.ft.com/content/7cfad020-78c4-11ea-9840-1b8019d9a987","...data sets build on their experience of working with epidemiologists to track infectious diseases in the developing world. Telenor, the Norwegian company, has participated in bigdata projects to predict..."
"21","Big Tech will have to share data under EU proposals","https://www.ft.com/content/a5c7b640-526c-11ea-8841-482eed0038b1","...Dominant tech companies will have to open up their troves of data to smaller rivals, as other sectors such as financial services already do, the European Commission said, in proposals aimed at breaking..."
"22","India: is Modi’s BJP introducing Big Brother? ","https://www.ft.com/content/c626fd96-4db3-11ea-95a0-43d18ec715f5","...surveillance build-up has sparked fears about the future of privacy in India, just as Mr Modi’s government embarks on a dramatic overhaul of how authorities and companies can use the data of the hundreds of..."
"23","Stockpickers turn to bigdata to arrest decline","https://www.ft.com/content/586b4ea6-48f4-11ea-aee2-9ddbdc86190d","...heavily in programmers and data scientists. They are hoping that a hybrid approach, which combines the judgment of an experienced stockpicker with the insights that bigdata can offer, will give them a..."
"24","Bigdata opens up vast new possibilities for insurers Premium","https://www.ft.com/content/d7000d78-519c-11ea-90ad-25e377c0ee1f","...accordingly. Pictures from dash cams in cars are one example.The most controversial use of bigdata is in pricing. If new data can give insurers a more accurate view of risk, then they can price their..."
"25","How digital technologies are transforming the supply chain","https://www.ft.com/video/15dd34aa-a488-4ca2-ad71-80195b96dd29","...consultancy South Pole taps into a range of tools, including bigdata and satellite mapping. The company can assist climate risk and how the activities of companies, governments, and others are affecting the..."
"26","How digital technologies are transforming the supply chain","https://www.ft.com/video/15dd34aa-a488-4ca2-ad71-80195b96dd29","...consultancy South Pole taps into a range of tools, including bigdata and satellite mapping. The company can assist climate risk and how the activities of companies, governments, and others are affecting the..."
"27","Why big pharma sees a remedy in data and AI","https://www.ft.com/content/4743d76c-af9b-11e9-8030-530adfa879c2","...trials where we don’t have enough trial data,” he adds. “That’s really the big idea.”Basel-based Roche has embraced that approach. In 2015 it took a 12.6 per cent stake in Flatiron, going on to buy..."
"28","Weakened democracy is another harm caused by Big Tech","https://www.ft.com/content/9adb3a15-d610-4bd6-bae0-a87dc4f315c6","Using antitrust regulations to repair and prevent such damage is not enough"
"29","How using data and tech speeded response to Covid-19 ","https://www.ft.com/content/a31cd6c2-6bd7-4f4e-a446-4520e56adb2e","...The pandemic year has shown just how much the convergence of data and technology with professional services has been critical to secure the smooth running of business and society.The Financial Times..."
