"","game_id","date_game","game_start_time","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_type","home_game_diff","away_game_diff","winner","loser"
"1","201910220TOR",2019-10-22,"8:00p","New Orleans Pelicans",122,"Toronto Raptors",130,"OT",20787,"Regular Season",8,-8,"Toronto Raptors","New Orleans Pelicans"
"2","201910220LAC",2019-10-22,"10:30p","Los Angeles Lakers",102,"Los Angeles Clippers",112,"",19068,"Regular Season",10,-10,"Los Angeles Clippers","Los Angeles Lakers"
"3","201910230CHO",2019-10-23,"7:00p","Chicago Bulls",125,"Charlotte Hornets",126,"",15424,"Regular Season",1,-1,"Charlotte Hornets","Chicago Bulls"
"4","201910230IND",2019-10-23,"7:00p","Detroit Pistons",119,"Indiana Pacers",110,"",17923,"Regular Season",-9,9,"Detroit Pistons","Indiana Pacers"
"5","201910230ORL",2019-10-23,"7:00p","Cleveland Cavaliers",85,"Orlando Magic",94,"",18846,"Regular Season",9,-9,"Orlando Magic","Cleveland Cavaliers"
"6","201910230BRK",2019-10-23,"7:30p","Minnesota Timberwolves",127,"Brooklyn Nets",126,"OT",17732,"Regular Season",-1,1,"Minnesota Timberwolves","Brooklyn Nets"
"7","201910230MIA",2019-10-23,"7:30p","Memphis Grizzlies",101,"Miami Heat",120,"",19600,"Regular Season",19,-19,"Miami Heat","Memphis Grizzlies"
"8","201910230PHI",2019-10-23,"7:30p","Boston Celtics",93,"Philadelphia 76ers",107,"",20422,"Regular Season",14,-14,"Philadelphia 76ers","Boston Celtics"
"9","201910230DAL",2019-10-23,"8:30p","Washington Wizards",100,"Dallas Mavericks",108,"",19816,"Regular Season",8,-8,"Dallas Mavericks","Washington Wizards"
"10","201910230SAS",2019-10-23,"8:30p","New York Knicks",111,"San Antonio Spurs",120,"",18354,"Regular Season",9,-9,"San Antonio Spurs","New York Knicks"
"11","201910230UTA",2019-10-23,"9:00p","Oklahoma City Thunder",95,"Utah Jazz",100,"",18306,"Regular Season",5,-5,"Utah Jazz","Oklahoma City Thunder"
"12","201910230PHO",2019-10-23,"10:00p","Sacramento Kings",95,"Phoenix Suns",124,"",18055,"Regular Season",29,-29,"Phoenix Suns","Sacramento Kings"
"13","201910230POR",2019-10-23,"10:00p","Denver Nuggets",108,"Portland Trail Blazers",100,"",19991,"Regular Season",-8,8,"Denver Nuggets","Portland Trail Blazers"
"14","201910240DET",2019-10-24,"7:00p","Atlanta Hawks",117,"Detroit Pistons",100,"",20338,"Regular Season",-17,17,"Atlanta Hawks","Detroit Pistons"
"15","201910240HOU",2019-10-24,"8:00p","Milwaukee Bucks",117,"Houston Rockets",111,"",18055,"Regular Season",-6,6,"Milwaukee Bucks","Houston Rockets"
"16","201910240GSW",2019-10-24,"10:30p","Los Angeles Clippers",141,"Golden State Warriors",122,"",18064,"Regular Season",-19,19,"Los Angeles Clippers","Golden State Warriors"
"17","201910250BOS",2019-10-25,"7:00p","Toronto Raptors",106,"Boston Celtics",112,"",18624,"Regular Season",6,-6,"Boston Celtics","Toronto Raptors"
"18","201910250CHO",2019-10-25,"7:00p","Minnesota Timberwolves",121,"Charlotte Hornets",99,"",14879,"Regular Season",-22,22,"Minnesota Timberwolves","Charlotte Hornets"
"19","201910250BRK",2019-10-25,"7:30p","New York Knicks",109,"Brooklyn Nets",113,"",17732,"Regular Season",4,-4,"Brooklyn Nets","New York Knicks"
"20","201910250MEM",2019-10-25,"8:00p","Chicago Bulls",110,"Memphis Grizzlies",102,"",17794,"Regular Season",-8,8,"Chicago Bulls","Memphis Grizzlies"
"21","201910250NOP",2019-10-25,"8:00p","Dallas Mavericks",123,"New Orleans Pelicans",116,"",17027,"Regular Season",-7,7,"Dallas Mavericks","New Orleans Pelicans"
"22","201910250OKC",2019-10-25,"8:00p","Washington Wizards",97,"Oklahoma City Thunder",85,"",18203,"Regular Season",-12,12,"Washington Wizards","Oklahoma City Thunder"
"23","201910250DEN",2019-10-25,"9:00p","Phoenix Suns",107,"Denver Nuggets",108,"OT",19557,"Regular Season",1,-1,"Denver Nuggets","Phoenix Suns"
"24","201910250SAC",2019-10-25,"10:00p","Portland Trail Blazers",122,"Sacramento Kings",112,"",17583,"Regular Season",-10,10,"Portland Trail Blazers","Sacramento Kings"
"25","201910250LAL",2019-10-25,"10:30p","Utah Jazz",86,"Los Angeles Lakers",95,"",18997,"Regular Season",9,-9,"Los Angeles Lakers","Utah Jazz"
"26","201910260MIL",2019-10-26,"5:00p","Miami Heat",131,"Milwaukee Bucks",126,"OT",17467,"Regular Season",-5,5,"Miami Heat","Milwaukee Bucks"
"27","201910260DET",2019-10-26,"7:00p","Philadelphia 76ers",117,"Detroit Pistons",111,"",16207,"Regular Season",-6,6,"Philadelphia 76ers","Detroit Pistons"
"28","201910260ATL",2019-10-26,"7:30p","Orlando Magic",99,"Atlanta Hawks",103,"",17078,"Regular Season",4,-4,"Atlanta Hawks","Orlando Magic"
"29","201910260NYK",2019-10-26,"7:30p","Boston Celtics",118,"New York Knicks",95,"",19812,"Regular Season",-23,23,"Boston Celtics","New York Knicks"
"30","201910260CHI",2019-10-26,"8:00p","Toronto Raptors",108,"Chicago Bulls",84,"",21498,"Regular Season",-24,24,"Toronto Raptors","Chicago Bulls"
"31","201910260CLE",2019-10-26,"8:00p","Indiana Pacers",99,"Cleveland Cavaliers",110,"",19432,"Regular Season",11,-11,"Cleveland Cavaliers","Indiana Pacers"
"32","201910260HOU",2019-10-26,"8:00p","New Orleans Pelicans",123,"Houston Rockets",126,"",18055,"Regular Season",3,-3,"Houston Rockets","New Orleans Pelicans"
"33","201910260SAS",2019-10-26,"8:30p","Washington Wizards",122,"San Antonio Spurs",124,"",18354,"Regular Season",2,-2,"San Antonio Spurs","Washington Wizards"
"34","201910260UTA",2019-10-26,"9:00p","Sacramento Kings",81,"Utah Jazz",113,"",18306,"Regular Season",32,-32,"Utah Jazz","Sacramento Kings"
"35","201910260PHO",2019-10-26,"10:00p","Los Angeles Clippers",122,"Phoenix Suns",130,"",15802,"Regular Season",8,-8,"Phoenix Suns","Los Angeles Clippers"
"36","201910270OKC",2019-10-27,"3:30p","Golden State Warriors",92,"Oklahoma City Thunder",120,"",18203,"Regular Season",28,-28,"Oklahoma City Thunder","Golden State Warriors"
"37","201910270MEM",2019-10-27,"6:00p","Brooklyn Nets",133,"Memphis Grizzlies",134,"OT",15517,"Regular Season",1,-1,"Memphis Grizzlies","Brooklyn Nets"
"38","201910270DAL",2019-10-27,"7:00p","Portland Trail Blazers",121,"Dallas Mavericks",119,"",19707,"Regular Season",-2,2,"Portland Trail Blazers","Dallas Mavericks"
"39","201910270MIN",2019-10-27,"7:00p","Miami Heat",109,"Minnesota Timberwolves",116,"",17049,"Regular Season",7,-7,"Minnesota Timberwolves","Miami Heat"
"40","201910270LAL",2019-10-27,"9:30p","Charlotte Hornets",101,"Los Angeles Lakers",120,"",18997,"Regular Season",19,-19,"Los Angeles Lakers","Charlotte Hornets"
"41","201910280NYK",2019-10-28,"7:00p","Chicago Bulls",98,"New York Knicks",105,"",19812,"Regular Season",7,-7,"New York Knicks","Chicago Bulls"
"42","201910280DET",2019-10-28,"7:00p","Indiana Pacers",94,"Detroit Pistons",96,"",13565,"Regular Season",2,-2,"Detroit Pistons","Indiana Pacers"
"43","201910280TOR",2019-10-28,"7:30p","Orlando Magic",95,"Toronto Raptors",104,"",19800,"Regular Season",9,-9,"Toronto Raptors","Orlando Magic"
"44","201910280ATL",2019-10-28,"7:30p","Philadelphia 76ers",105,"Atlanta Hawks",103,"",14094,"Regular Season",-2,2,"Philadelphia 76ers","Atlanta Hawks"
"45","201910280HOU",2019-10-28,"8:00p","Oklahoma City Thunder",112,"Houston Rockets",116,"",18055,"Regular Season",4,-4,"Houston Rockets","Oklahoma City Thunder"
"46","201910280MIL",2019-10-28,"8:00p","Cleveland Cavaliers",112,"Milwaukee Bucks",129,"",17385,"Regular Season",17,-17,"Milwaukee Bucks","Cleveland Cavaliers"
"47","201910280NOP",2019-10-28,"8:00p","Golden State Warriors",134,"New Orleans Pelicans",123,"",17307,"Regular Season",-11,11,"Golden State Warriors","New Orleans Pelicans"
"48","201910280SAS",2019-10-28,"8:30p","Portland Trail Blazers",110,"San Antonio Spurs",113,"",18083,"Regular Season",3,-3,"San Antonio Spurs","Portland Trail Blazers"
"49","201910280PHO",2019-10-28,"10:00p","Utah Jazz",96,"Phoenix Suns",95,"",14805,"Regular Season",-1,1,"Utah Jazz","Phoenix Suns"
"50","201910280SAC",2019-10-28,"10:00p","Denver Nuggets",101,"Sacramento Kings",94,"",15870,"Regular Season",-7,7,"Denver Nuggets","Sacramento Kings"
"51","201910280LAC",2019-10-28,"10:30p","Charlotte Hornets",96,"Los Angeles Clippers",111,"",19068,"Regular Season",15,-15,"Los Angeles Clippers","Charlotte Hornets"
"52","201910290MIA",2019-10-29,"7:30p","Atlanta Hawks",97,"Miami Heat",112,"",19600,"Regular Season",15,-15,"Miami Heat","Atlanta Hawks"
"53","201910290DEN",2019-10-29,"9:00p","Dallas Mavericks",109,"Denver Nuggets",106,"",16605,"Regular Season",-3,3,"Dallas Mavericks","Denver Nuggets"
"54","201910290LAL",2019-10-29,"10:30p","Memphis Grizzlies",91,"Los Angeles Lakers",120,"",18997,"Regular Season",29,-29,"Los Angeles Lakers","Memphis Grizzlies"
"55","201910300CLE",2019-10-30,"7:00p","Chicago Bulls",111,"Cleveland Cavaliers",117,"",17595,"Regular Season",6,-6,"Cleveland Cavaliers","Chicago Bulls"
"56","201910300ORL",2019-10-30,"7:00p","New York Knicks",83,"Orlando Magic",95,"",17456,"Regular Season",12,-12,"Orlando Magic","New York Knicks"
"57","201910300PHI",2019-10-30,"7:00p","Minnesota Timberwolves",95,"Philadelphia 76ers",117,"",20204,"Regular Season",22,-22,"Philadelphia 76ers","Minnesota Timberwolves"
"58","201910300BOS",2019-10-30,"7:30p","Milwaukee Bucks",105,"Boston Celtics",116,"",18624,"Regular Season",11,-11,"Boston Celtics","Milwaukee Bucks"
"59","201910300BRK",2019-10-30,"7:30p","Indiana Pacers",118,"Brooklyn Nets",108,"",17083,"Regular Season",-10,10,"Indiana Pacers","Brooklyn Nets"
